comparison_type,family,model,metric,pipeline_value,individual_value,absolute_delta_pipeline_minus_individual,ratio_pipeline_over_individual
cthmm_lifetimes,parity,gpu_cthmm,gamma_01,2.4968581199645996,2.4762063026428223,0.020651817321777344,1.0083401036899615
cthmm_lifetimes,parity,gpu_cthmm,gamma_10,5.0112128257751465,4.960118770599365,0.05109405517578125,1.0103009741376832
cthmm_lifetimes,parity,gpu_cthmm,tau_0_model_units,0.4005033333708917,0.4038435726993802,-0.0033402393284884813,0.9917288783224614
cthmm_lifetimes,parity,gpu_cthmm,tau_1_model_units,0.1995524905381199,0.20160807558226335,-0.0020555850441434376,0.9898040540379808
cthmm_lifetimes,parity,gpu_cthmm,tau_mean_model_units,0.30002791195450584,0.3027258241408218,-0.0026979121863159317,0.9910879351176168
cthmm_lifetimes,parity,gpu_cthmm,tau_asymmetry_tau0_over_tau1,2.007007440953912,2.003112085332105,0.003895355621806651,1.0019446518496546
cthmm_lifetimes,parity,gpu_cthmm,train_log_likelihood_per_obs,-13.407628206790278,-13.406616052565544,-0.0010121542247336635,1.0000754966220233
cthmm_lifetimes,x_loop,gpu_cthmm,gamma_01,355507.90625,355265.90625,242.0,1.0006811799155018
cthmm_lifetimes,x_loop,gpu_cthmm,gamma_10,390136.03125,390657.78125,-521.75,0.9986644320808598
cthmm_lifetimes,x_loop,gpu_cthmm,tau_0_model_units,2.812876963970474e-06,2.8147930392631083e-06,-1.9160752926341167e-09,0.9993192837747191
cthmm_lifetimes,x_loop,gpu_cthmm,tau_1_model_units,2.5632085218993726e-06,2.559785182827457e-06,3.423339071915535e-09,1.0013373540463009
cthmm_lifetimes,x_loop,gpu_cthmm,tau_mean_model_units,2.6880427429349234e-06,2.687289111045283e-06,7.536318896404973e-10,1.0002804431747008
cthmm_lifetimes,x_loop,gpu_cthmm,tau_asymmetry_tau0_over_tau1,1.0974046551179901,1.09962080339647,-0.0022161482784799347,0.9979846249983314
cthmm_lifetimes,x_loop,gpu_cthmm,train_log_likelihood_per_obs,-11.32947004608295,-11.328781955820302,-0.0006880902626473784,1.000060738238703
cthmm_lifetimes,z_loop,gpu_cthmm,gamma_01,1789.42626953125,1795.2852783203125,-5.8590087890625,0.9967364469258366
cthmm_lifetimes,z_loop,gpu_cthmm,gamma_10,2938.967041015625,2939.397216796875,-0.43017578125,0.999853651701515
cthmm_lifetimes,z_loop,gpu_cthmm,tau_0_model_units,0.0005588383366373377,0.0005570145380658446,1.8237985714930844e-06,1.0032742387260232
cthmm_lifetimes,z_loop,gpu_cthmm,tau_1_model_units,0.0003402556020684151,0.0003402058062400024,4.979582841273082e-08,1.0001463697194444
cthmm_lifetimes,z_loop,gpu_cthmm,tau_mean_model_units,0.0004495469693528764,0.0004486101721529235,9.367971999529076e-07,1.0020882210393427
cthmm_lifetimes,z_loop,gpu_cthmm,tau_asymmetry_tau0_over_tau1,1.64240745263313,1.6372869829061407,0.0051204697269893185,1.0031274112482715
cthmm_lifetimes,z_loop,gpu_cthmm,train_log_likelihood_per_obs,-10.532075342628724,-10.534691887425701,0.0026165447969770383,0.9997516258828509
prediction_metrics,parity,gpu_cthmm,mean_confidence,0.9969078841358177,0.9969087212345698,-8.370987520933681e-07,0.9999991603055182
prediction_metrics,parity,gpu_cthmm,median_confidence,1.0,1.0,0.0,1.0
prediction_metrics,parity,gpu_cthmm,mean_entropy_bits,0.010645950289736548,0.010640048179179839,5.902110556709958e-06,1.000554707127009
prediction_metrics,parity,gpu_cthmm,state_0_occupancy,0.6421052631578947,0.6421052631578947,0.0,1.0
prediction_metrics,parity,gpu_cthmm,state_1_occupancy,0.35789473684210527,0.35789473684210527,0.0,1.0
prediction_metrics,parity,gpu_cthmm,n_predictions,701480.0,701480.0,0.0,1.0
prediction_metrics,parity,gpu_hsmm_duration,state_0_occupancy,0.6314731952005016,0.6307641132864474,0.000709081914054166,1.0011241633744186
prediction_metrics,parity,gpu_hsmm_duration,state_1_occupancy,0.3685268047994984,0.36923588671355256,-0.000709081914054166,0.9980795964326071
prediction_metrics,parity,gpu_hsmm_duration,window_switch_rate,0.0,0.0,0.0,
prediction_metrics,parity,gpu_hsmm_duration,n_predictions,70174.0,105220.0,-35046.0,0.6669264398403345
prediction_metrics,x_loop,gpu_cthmm,mean_confidence,0.6068597791502552,0.6067596157116275,0.0001001634386277317,1.000165079276923
prediction_metrics,x_loop,gpu_cthmm,median_confidence,0.5948196053504944,0.5947727859020233,4.6819448471069336e-05,1.000078718209005
prediction_metrics,x_loop,gpu_cthmm,mean_entropy_bits,0.9493582225949867,0.9494393248064302,-8.110221144352892e-05,0.999914578836873
prediction_metrics,x_loop,gpu_cthmm,state_0_occupancy,0.5088440860215053,0.5050913978494623,0.003752688172042995,1.0074297210129115
prediction_metrics,x_loop,gpu_cthmm,state_1_occupancy,0.4911559139784946,0.4949086021505376,-0.003752688172042995,0.9924174117084723
prediction_metrics,x_loop,gpu_cthmm,n_predictions,186000.0,186000.0,0.0,1.0
prediction_metrics,x_loop,gpu_hsmm_duration,state_0_occupancy,0.2977956989247312,0.31849462365591397,-0.02069892473118279,0.9350101282916948
prediction_metrics,x_loop,gpu_hsmm_duration,state_1_occupancy,0.7022043010752688,0.681505376344086,0.020698924731182733,1.0303723572104764
prediction_metrics,x_loop,gpu_hsmm_duration,window_switch_rate,0.07308120133481646,0.07578791249536522,-0.0027067111605487554,0.9642857142857143
prediction_metrics,x_loop,gpu_hsmm_duration,n_predictions,18600.0,27900.0,-9300.0,0.6666666666666666
prediction_metrics,z_loop,gpu_cthmm,mean_confidence,0.8103273479810683,0.8092754019485725,0.0010519460324958096,1.001299861616902
prediction_metrics,z_loop,gpu_cthmm,median_confidence,0.838228702545166,0.8370898365974426,0.0011388659477233887,1.0013605062419018
prediction_metrics,z_loop,gpu_cthmm,mean_entropy_bits,0.6146544354380975,0.6176353367632785,-0.002980901325181029,0.9951736872103166
prediction_metrics,z_loop,gpu_cthmm,state_0_occupancy,0.6068598068598069,0.6093906093906094,-0.0025308025308025117,0.9958469945355192
prediction_metrics,z_loop,gpu_cthmm,state_1_occupancy,0.39314019314019316,0.3906093906093906,0.0025308025308025672,1.0064791133844844
prediction_metrics,z_loop,gpu_cthmm,n_predictions,15015.0,15015.0,0.0,1.0
prediction_metrics,z_loop,gpu_hsmm_duration,state_0_occupancy,0.6617940199335548,0.6362023070097604,0.025591712923794363,1.0402257468132723
prediction_metrics,z_loop,gpu_hsmm_duration,state_1_occupancy,0.3382059800664452,0.36379769299023956,-0.025591712923794363,0.9296539988655701
prediction_metrics,z_loop,gpu_hsmm_duration,window_switch_rate,0.06356589147286822,0.07142857142857142,-0.007862679955703208,0.8899224806201551
prediction_metrics,z_loop,gpu_hsmm_duration,n_predictions,1505.0,2254.0,-749.0,0.6677018633540373
training_metrics,parity,dmm,test_loss,0.03039938480610703,0.028063868574771198,0.0023355162313358317,1.0832214641083164
training_metrics,parity,dmm,best_selection_score,0.9993664962925636,-0.028076640450346645,1.0274431367429102,-35.59423350738621
training_metrics,parity,dmm,last_train_loss,0.0562214727760419,0.0390682893690098,0.017153183407032098,1.4390564236129197
training_metrics,parity,dmm,last_val_loss,0.0304098135618428,0.028286582870976,0.002123230690866798,1.0750614063406498
training_metrics,parity,dmm,best_val_loss,0.0304098135618428,0.0280766404503466,0.0023331731114961986,1.083100152798637
training_metrics,x_loop,dmm,test_loss,0.02804075190056396,0.028134549596083205,-9.3797695519246e-05,0.9966661028214113
training_metrics,x_loop,dmm,best_selection_score,-0.028051152416775305,-0.02815039000770849,9.923759093318635e-05,0.9964747347761075
training_metrics,x_loop,dmm,last_train_loss,0.0392558975951878,0.0390028390812419,0.0002530585139459002,1.0064882075230162
training_metrics,x_loop,dmm,last_val_loss,0.0282547653234133,0.028174770351078,7.999497233530245e-05,1.0028392413261407
training_metrics,x_loop,dmm,best_val_loss,0.0280511524167753,0.0281503900077084,-9.923759093309961e-05,0.9964747347761106
training_metrics,z_loop,dmm,test_loss,0.037304363186870304,0.030307627974711062,0.006996735212159242,1.2308572356106977
training_metrics,z_loop,dmm,best_selection_score,0.8935902806870549,-0.030274617826535708,0.9238648985135907,-29.516153954677602
training_metrics,z_loop,dmm,last_train_loss,0.0573415514081716,0.0486202710553219,0.008721280352849699,1.1793753955613762
training_metrics,z_loop,dmm,last_val_loss,0.0372501372288673,0.0302746178265357,0.0069755194023316015,1.2304081736819668
training_metrics,z_loop,dmm,best_val_loss,0.0372501372288673,0.0302746178265357,0.0069755194023316015,1.2304081736819668
